,Unnamed: 0,B0000YV1DG
0,0205616461,0.0
1,0558925278,0.0
2,0733001998,0.0
3,0737104473,0.0
4,0762451459,0.0
5,1304139212,0.0
6,1304139220,0.0
7,130414089X,0.0
8,130414643X,0.0
9,1304146537,0.0
10,130414674X,0.0
11,1304168522,0.0
12,1304174778,0.0
13,1304174867,0.0
14,1304174905,0.0
15,1304196046,0.0
16,1304196062,0.0
17,1304196070,0.0
18,1304196135,0.0
19,1304351475,0.0
20,1304482596,0.0
21,1304482634,0.0
22,1304482685,0.0
23,1304488608,0.0
24,1304495396,0.0
25,1304511073,0.0
26,1304511081,0.0
27,1304511111,0.0
28,130451112X,0.0
29,1304511138,0.0
30,1304511146,0.0
31,1304511154,0.0
32,1304622193,0.0
33,1304622223,0.0
34,1304622428,0.0
35,1304622452,0.0
36,1304622460,0.0
37,1304622622,0.0
38,1304622657,0.0
39,1304622665,0.0
40,1304624498,0.0
41,1304624544,0.0
42,1304651029,0.0
43,1304651088,0.0
44,130465110X,0.0
45,1304651118,0.0
46,1304651347,0.0
47,1304665704,0.0
48,1304665720,0.0
49,130466578X,0.0
50,1403790965,0.0
51,1412759676,0.0
52,1451646526,0.0
53,1457982633,0.0
54,1572671203,0.0
55,1879187396,0.0
56,1906987238,0.0
57,1929099886,0.0
58,1987958179,0.0
59,3222000565,0.0
60,322700075X,0.0
61,3227001055,0.0
62,3227001381,0.0
63,3292000971,0.0
64,3423470476,0.0
65,360211600X,0.0
66,4057362797,0.0
67,4057362843,0.0
68,4057362886,0.0
69,4057362894,0.0
70,4057362967,0.0
71,4057363823,0.0
72,4057368825,0.0
73,4057553908,0.0
74,5297000963,0.0
75,5357954771,0.0
76,535795531X,0.0
77,535795545X,0.0
78,5357955743,0.0
79,5357955751,0.0
80,5357955786,0.0
81,5357955832,0.0
82,5357955867,0.0
83,5357955905,0.0
84,5357955948,0.0
85,5357955972,0.0
86,5357956014,0.0
87,5357956111,0.0
88,5357956227,0.0
89,6022600685,0.0
90,602260074X,0.0
91,6022600790,0.0
92,6022600804,0.0
93,6022600812,0.0
94,6040652705,0.0
95,6041134473,0.0
96,604113449X,0.0
97,6041134511,0.0
98,6053640972,0.0
99,6117036094,0.0
100,6117043058,0.0
101,6152000416,0.0
102,6162071103,0.0
103,6162751473,0.0
104,6165151329,0.0
105,6165290582,0.0
106,6167061580,0.0
107,6169040335,0.0
108,6175005570,0.0
109,6175005589,0.0
110,711901871X,0.0
111,7535842801,0.0
112,753865058X,0.0
113,7539914718,0.0
114,7800558258,0.0
115,7806397051,0.0
116,7842953384,0.0
117,7883527428,0.0
118,7883633309,0.0
119,788522323X,0.0
120,7885223639,0.0
121,7899120217,0.0
122,7899123011,0.0
123,8072222120,0.0
124,8096398741,0.0
125,8096398768,0.0
126,8096399322,0.0
127,8279995404,0.0
128,8329000710,0.0
129,832900094X,0.0
130,8329001008,0.0
131,8430539387,0.0
132,8805002860,0.0
133,8901110814,0.0
134,8901134322,0.0
135,8934903716,0.0
136,897677244X,0.0
137,8982641262,0.0
138,8997092219,0.0
139,9029300388,0.0
140,9502737628,0.0
141,9509369934,0.0
142,9510213861,0.0
143,9511181564,0.0
144,9511181572,0.0
145,951311290X,0.0
146,9571044822,0.0
147,9573086514,0.0
148,9573215926,0.0
149,9575295714,0.0
150,957696718X,0.0
151,9601403787,0.0
152,9601403825,0.0
153,9601420347,0.0
154,9602344954,0.0
155,9602617918,0.0
156,9605406446,0.0
157,9623541902,0.0
158,9628982370,0.0
159,9740200133,0.0
160,9742126046,0.0
161,9742189889,0.0
162,9742496811,0.0
163,974383785X,0.0
164,9744287233,0.0
165,9744434139,0.0
166,9745340936,0.0
167,9745343412,0.0
168,974619187X,0.0
169,9746427962,0.0
170,9747842297,0.0
171,9748668525,0.0
172,9748776093,0.0
173,974935706X,0.0
174,9749377397,0.0
175,9749513444,0.0
176,9756518006,0.0
177,9756518081,0.0
178,9758086243,0.0
179,9759091062,0.0
180,9788071074,0.0
181,9788071139,0.0
182,9788071163,0.0
183,9788071171,0.0
184,978807118X,0.0
185,9788071198,0.0
186,978807121X,0.0
187,9788071260,0.0
188,9788071465,0.0
189,9788071511,0.0
190,9788071538,0.0
191,9788071554,0.0
192,9788071570,0.0
193,9788071597,0.0
194,9788071813,0.0
195,9788071848,0.0
196,9788071856,0.0
197,9788072097,0.0
198,9788072100,0.0
199,9788072119,0.0
200,9788072208,0.0
201,9788072216,0.0
202,9788072283,0.0
203,9788072305,0.0
204,9788072348,0.0
205,9788072372,0.0
206,9788072453,0.0
207,978807247X,0.0
208,9788072488,0.0
209,978807250X,0.0
210,9788072569,0.0
211,978807278X,0.0
212,9788072828,0.0
213,9788072895,0.0
214,9788072976,0.0
215,9788072992,0.0
216,978807314X,0.0
217,9788073239,0.0
218,9788073247,0.0
219,9788073263,0.0
220,978807328X,0.0
221,9788073328,0.0
222,9788073409,0.0
223,9788073417,0.0
224,9788073476,0.0
225,9788073484,0.0
226,9788073492,0.0
227,9788073514,0.0
228,9788073565,0.0
229,9788073840,0.0
230,9788073859,0.0
231,9788073883,0.0
232,9788074049,0.0
233,9788074286,0.0
234,9788074359,0.0
235,9788074367,0.0
236,9788074405,0.0
